Fecha,Año,Mes,Día,Hora,Comuna,Tipo de Calle,Tipo de Víctima,Sexo,Edad
2017-02-23,2017,2,23,20:50:00,7,AVENIDA,PEATON,MASCULINO,39.0
2017-02-24,2017,2,24,17:05:00,7,AVENIDA,MOTO,MASCULINO,23.0
2017-02-26,2017,2,26,05:15:00,4,AVENIDA,AUTO,FEMENINO,23.0
2017-02-26,2017,2,26,05:15:00,4,AVENIDA,AUTO,MASCULINO,19.0
2017-02-26,2017,2,26,21:57:00,1,AVENIDA,PEATON,MASCULINO,42.16716867469879
2017-02-28,2017,2,28,09:20:00,6,AVENIDA,PEATON,MASCULINO,87.0
2017-03-07,2017,3,7,02:15:00,9,CALLE,,MASCULINO,34.0
2017-03-07,2017,3,7,08:00:00,9,AVENIDA,AUTO,FEMENINO,27.0
2017-03-11,2017,3,11,01:30:00,3,CALLE,AUTO,MASCULINO,70.0
2017-03-12,2017,3,12,05:00:00,8,GRAL PAZ,AUTO,FEMENINO,40.0
2017-03-12,2017,3,12,07:30:00,11,GRAL PAZ,AUTO,MASCULINO,28.0
2017-03-13,2017,3,13,07:50:00,14,CALLE,PEATON,MASCULINO,43.0
2017-03-23,2017,3,23,05:00:00,1,AVENIDA,AUTO,MASCULINO,28.0
2017-03-23,2017,3,23,05:00:00,1,AVENIDA,AUTO,MASCULINO,32.0
2017-03-23,2017,3,23,05:00:00,1,AVENIDA,AUTO,MASCULINO,30.0
2017-03-29,2017,3,29,18:00:00,12,GRAL PAZ,MOTO,FEMENINO,42.16716867469879
2017-03-29,2017,3,29,18:00:00,12,GRAL PAZ,MOTO,MASCULINO,20.0
2017-03-31,2017,3,31,03:00:00,1,AVENIDA,MOTO,MASCULINO,41.0
2017-04-01,2017,4,1,19:00:00,7,AVENIDA,MOTO,FEMENINO,40.0
2017-04-03,2017,4,3,09:40:00,13,AVENIDA,AUTO,MASCULINO,43.0
2017-04-03,2017,4,3,23:15:00,7,CALLE,MOTO,MASCULINO,17.0
2017-04-10,2017,4,10,09:00:00,14,GRAL PAZ,MOTO,MASCULINO,42.16716867469879
2017-04-14,2017,4,14,06:15:00,10,CALLE,MOTO,MASCULINO,21.0
2017-04-23,2017,4,23,06:30:00,8,AVENIDA,MOTO,MASCULINO,37.0
2017-04-27,2017,4,27,18:16:00,8,AVENIDA,PEATON,MASCULINO,22.0
2017-04-28,2017,4,28,11:08:08,9,AUTOPISTA,MOTO,MASCULINO,46.0
2017-04-28,2017,4,28,11:08:08,9,AUTOPISTA,MOTO,MASCULINO,16.0
2017-05-01,2017,5,1,03:47:47,7,AUTOPISTA,AUTO,MASCULINO,33.0
2017-05-05,2017,5,5,03:40:00,8,GRAL PAZ,PEATON,FEMENINO,47.0
2017-05-05,2017,5,5,20:16:22,4,CALLE,MOTO,MASCULINO,28.0
2017-05-07,2017,5,7,21:00:00,15,AVENIDA,MOTO,FEMENINO,20.0
2017-05-09,2017,5,9,08:30:00,12,AVENIDA,AUTO,MASCULINO,32.0
2017-05-09,2017,5,9,23:10:00,1,AVENIDA,PEATON,MASCULINO,80.0
2017-05-11,2017,5,11,09:24:00,1,CALLE,PEATON,FEMENINO,39.0
2017-05-13,2017,5,13,07:20:00,8,AVENIDA,MOTO,MASCULINO,30.0
2017-05-15,2017,5,15,13:29:30,2,AVENIDA,PEATON,MASCULINO,47.0
2017-05-15,2017,5,15,16:00:00,10,AVENIDA,MOTO,MASCULINO,35.0
2017-05-17,2017,5,17,10:13:00,1,AVENIDA,PEATON,FEMENINO,79.0
2017-05-20,2017,5,20,05:00:00,1,CALLE,CARGAS,MASCULINO,61.0
2017-05-22,2017,5,22,16:00:00,4,AVENIDA,BICICLETA,MASCULINO,21.0
2017-05-22,2017,5,22,18:10:00,15,AVENIDA,PEATON,MASCULINO,10.0
2017-05-23,2017,5,23,02:45:00,6,AVENIDA,MOTO,MASCULINO,21.0
2017-05-27,2017,5,27,19:50:00,8,AVENIDA,MOTO,MASCULINO,32.0
2017-05-30,2017,5,30,13:20:00,11,CALLE,PEATON,MASCULINO,80.0
