ID,FECHA,AÑO,MES,HORA,pos x,pos y,TIPO_DE_CALLE,COMUNA,VICTIMA,ACUSADO,N_VICTIMAS,ROL,SEXO,EDAD
2016-0098,2016-07-27,2016,7,16:08:00,-58.40042405,-34.62356174,AVENIDA,3,MOTO,CARGAS,1,CONDUCTOR,FEMENINO,43
2016-0099,2016-07-29,2016,7,16:00:00,-58.52340614,-34.59798754,GRAL PAZ,11,CARGAS,CARGAS,1,CONDUCTOR,MASCULINO,45
2016-0100,2016-08-03,2016,8,23:27:00,-58.49491054,-34.54795581,GRAL PAZ,12,MOTO,OBJETO FIJO,1,CONDUCTOR,MASCULINO,57
2016-0101,2016-08-07,2016,8,19:42:00,-58.52932872,-34.65014993,GRAL PAZ,9,SD,SD,1,SD,MASCULINO,67
2016-0102,2016-08-10,2016,8,23:37:00,-58.50011639,-34.67316502,AVENIDA,9,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,29
2016-0104,2016-08-14,2016,8,21:15:00,-58.46635001,-34.65624369,AVENIDA,9,MOTO,PASAJEROS,1,CONDUCTOR,MASCULINO,21
2016-0105,2016-08-17,2016,8,00:05:00,-58.45343236,-34.58435809,AVENIDA,15,PEATON,PASAJEROS,1,PEATON,MASCULINO,19
2016-0106,2016-08-19,2016,8,21:02:00,-58.38090932,-34.58927731,AVENIDA,1,PEATON,PASAJEROS,1,PEATON,MASCULINO,38
2016-0107,2016-08-20,2016,8,08:22:00,-58.37157668,-34.65429986,AUTOPISTA,4,MOTO,AUTO,1,CONDUCTOR,MASCULINO,21
2016-0109,2016-08-24,2016,8,05:45:00,-58.52280139,-34.63659934,AUTOPISTA,9,AUTO,OBJETO FIJO,1,CONDUCTOR,FEMENINO,53
2016-0110,2016-08-24,2016,8,20:21:00,-58.51232237,-34.6590353,AVENIDA,9,PEATON,SD,1,PEATON,MASCULINO,57
2016-0111,2016-08-25,2016,8,09:30:00,-58.47461905,-34.57663634,AUTOPISTA,15,MOTO,CARGAS,1,CONDUCTOR,MASCULINO,27
2016-0112,2016-08-27,2016,8,04:40:00,-58.38268809,-34.62282019,AUTOPISTA,1,MOTO,OBJETO FIJO,1,CONDUCTOR,MASCULINO,24
2016-0113,2016-08-27,2016,8,16:45:00,-58.49603546,-34.64564271,AVENIDA,9,PEATON,PASAJEROS,1,PEATON,FEMENINO,60
2016-0114,2016-08-31,2016,8,11:20:00,-58.41848605,-34.59394733,CALLE,14,BICICLETA,CARGAS,1,CICLISTA,FEMENINO,55
2016-0115,2016-09-02,2016,9,11:50:00,-58.48935041,-34.54917673,CALLE,12,SD,CARGAS,1,SD,MASCULINO,SD
2016-0116,2016-09-02,2016,9,20:20:00,-58.44451316,-34.68475866,AVENIDA,8,MOTO,AUTO,1,CONDUCTOR,MASCULINO,30
2016-0117,2016-09-03,2016,9,15:30:00,-58.39936478,-34.58271474,AVENIDA,14,AUTO,AUTO,1,CONDUCTOR,MASCULINO,43
