ID;N_VICTIMAS;FECHA;HORA;TIPO_DE_CALLE;COMUNA;POS_X;POS_Y;ACUSADO
2017-0024;1;2017-02-23;20;AVENIDA;7;-58.4659;-34.6296;PASAJEROS
2017-0025;1;2017-02-24;17;AVENIDA;7;-58.4361;-34.6542;SD
2017-0026;2;2017-02-26;5;AVENIDA;4;-58.4184;-34.6498;OBJETO FIJO
2017-0027;1;2017-02-26;21;AVENIDA;1;-58.3833;-34.6319;AUTO
2017-0028;1;2017-02-28;9;AVENIDA;6;-58.4548;-34.612;AUTO
2017-0029;1;2017-03-07;2;CALLE;9;-58.485;-34.6474;AUTO
2017-0030;1;2017-03-07;8;AVENIDA;9;-58.4701;-34.6587;PASAJEROS
2017-0031;1;2017-03-11;1;CALLE;3;-58.41;-34.6287;OBJETO FIJO
2017-0032;1;2017-03-12;5;GRAL PAZ;8;-58.4889;-34.6836;AUTO
2017-0033;1;2017-03-12;7;GRAL PAZ;11;-58.5247;-34.6033;AUTO
2017-0034;1;2017-03-13;7;CALLE;14;-58.4255;-34.5793;AUTO
2017-0035;3;2017-03-23;5;AVENIDA;1;-58.3588;-34.6111;OBJETO FIJO
2017-0036;2;2017-03-29;18;GRAL PAZ;12;-58.5145;-34.5816;PASAJEROS
2017-0037;1;2017-03-31;3;AVENIDA;1;-58.389;-34.618;CARGAS
2017-0038;1;2017-04-01;19;AVENIDA;7;-58.4452;-34.6436;AUTO
2017-0040;1;2017-04-03;9;AVENIDA;13;-58.4383;-34.5456;MULTIPLE
2017-0041;1;2017-04-03;23;CALLE;7;-58.4548;-34.6353;AUTO
2017-0042;1;2017-04-10;9;GRAL PAZ;14;-58.4385;-34.5484;CARGAS
2017-0045;1;2017-04-14;6;CALLE;10;-58.5245;-34.6245;OBJETO FIJO
2017-0047;1;2017-04-23;6;AVENIDA;8;-58.4671;-34.672;AUTO
2017-0049;1;2017-04-27;18;AVENIDA;8;-58.4385;-34.6555;PASAJEROS
2017-0050;2;2017-04-28;11;AUTOPISTA;9;-58.4671;-34.6493;CARGAS
2017-0051;1;2017-05-01;3;AUTOPISTA;7;-58.4756;-34.6691;AUTO
2017-0052;1;2017-05-05;3;GRAL PAZ;8;-58.4941;-34.681;CARGAS
2017-0053;1;2017-05-05;20;CALLE;4;-58.3755;-34.6533;CARGAS
2017-0054;1;2017-05-07;21;AVENIDA;15;-58.4868;-34.5869;AUTO
2017-0055;1;2017-05-09;8;AVENIDA;12;-58.4956;-34.5796;AUTO
2017-0058;1;2017-05-09;23;AVENIDA;1;-58.384;-34.5992;MOTO
2017-0059;1;2017-05-11;9;CALLE;1;-58.3822;-34.6269;PASAJEROS
2017-0060;1;2017-05-13;7;AVENIDA;8;-58.4597;-34.6732;OBJETO FIJO
2017-0061;1;2017-05-15;13;AVENIDA;2;-58.393;-34.5987;MOTO
2017-0062;1;2017-05-15;16;AVENIDA;10;-58.5126;-34.634;CARGAS
2017-0063;1;2017-05-17;10;AVENIDA;1;-58.3812;-34.6165;PASAJEROS
2017-0064;1;2017-05-20;5;CALLE;1;-58.3765;-34.6058;AUTO
2017-0065;1;2017-05-22;16;AVENIDA;4;-58.3771;-34.6404;CARGAS
2017-0066;1;2017-05-22;18;AVENIDA;15;-58.46;-34.6041;PASAJEROS
2017-0067;1;2017-05-23;2;AVENIDA;6;-58.4338;-34.628;CARGAS
2017-0068;1;2017-05-27;19;AVENIDA;8;-58.4358;-34.6644;OBJETO FIJO
2017-0069;1;2017-05-24;14;GRAL PAZ;9;-58.5217;-34.66;SD
2017-0070;1;2017-05-30;13;CALLE;11;-58.5079;-34.598;AUTO
2017-0072;1;2017-06-03;23;AVENIDA;12;-58.4918;-34.5823;AUTO
2017-0073;1;2017-06-04;9;AVENIDA;3;-58.4078;-34.6043;AUTO
2017-0074;1;2017-06-04;12;CALLE;9;-58.5257;-34.6379;SD
2017-0075;1;2017-06-12;22;AVENIDA;1;-58.3815;-34.6091;MOTO
2017-0076;1;2017-06-13;14;AVENIDA;2;-58.3853;-34.5781;CARGAS
2017-0077;1;2017-06-17;23;CALLE;14;-58.4293;-34.5845;CARGAS
2017-0079;1;2017-06-19;16;CALLE;3;-58.4066;-34.6178;CARGAS
2017-0080;1;2017-06-22;10;AVENIDA;9;-58.4953;-34.6449;CARGAS
2017-0082;1;2017-06-25;22;AVENIDA;4;-58.3909;-34.6293;AUTO
